scale,metric,unit,alpha,mean,var,cvar,sample_count,tail_equivalent_count,excluded_partial_blocks,experiment,grid_limit_kw,seed,policy
hour,actual_expense,EUR/hour,0.9,0.3757947130500885,0.507,0.5069999999999999,96,9.599999999999998,0,planned_48h,2.5,42,perfect_foresight
hour,shortage_penalty,EUR/hour,0.9,6.476300976980079e-16,0.0,6.476300976980081e-15,96,9.599999999999998,0,planned_48h,2.5,42,perfect_foresight
hour,inventory_adjustment,EUR/hour,0.9,0.014020312500000002,0.1326315789473684,0.14033699437191605,96,9.599999999999998,0,planned_48h,2.5,42,perfect_foresight
hour,adjusted_loss,EUR/hour,0.9,0.3898150255500892,0.6396315789473684,0.6396315789473684,96,9.599999999999998,0,planned_48h,2.5,42,perfect_foresight
hour,ens,kWh/hour,0.9,6.47630097698008e-17,0.0,6.47630097698008e-16,96,9.599999999999998,0,planned_48h,2.5,42,perfect_foresight
utc_day,actual_expense,EUR/block,0.9,9.019073113202124,9.693372549125693,9.693372549125693,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
utc_day,shortage_penalty,EUR/block,0.9,1.554312234475219e-14,5.773159728050814e-14,5.773159728050814e-14,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
utc_day,inventory_adjustment,EUR/block,0.9,0.33648750000000005,0.6943499999999998,0.6943499999999998,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
utc_day,adjusted_loss,EUR/block,0.9,9.35556061320214,10.387722549125693,10.387722549125693,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
utc_day,ens,kWh/block,0.9,1.5543122344752192e-15,5.773159728050814e-15,5.773159728050815e-15,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
nonoverlapping_24h,actual_expense,EUR/block,0.9,9.019073113202124,9.693372549125693,9.693372549125693,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,1.554312234475219e-14,5.773159728050814e-14,5.773159728050814e-14,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.33648750000000005,0.6943499999999998,0.6943499999999998,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,9.35556061320214,10.387722549125693,10.387722549125693,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
nonoverlapping_24h,ens,kWh/block,0.9,1.5543122344752192e-15,5.773159728050814e-15,5.773159728050815e-15,4,0.3999999999999999,0,planned_48h,2.5,42,perfect_foresight
hour,actual_expense,EUR/hour,0.9,0.37706351347132466,0.507,0.5069999999999999,96,9.599999999999998,0,planned_48h,2.5,42,deterministic
hour,shortage_penalty,EUR/hour,0.9,0.1364784283108187,0.0323160807291778,1.3632343292236377,96,9.599999999999998,0,planned_48h,2.5,42,deterministic
hour,inventory_adjustment,EUR/hour,0.9,0.014020312500000012,0.1326315789473684,0.15021978627828722,96,9.599999999999998,0,planned_48h,2.5,42,deterministic
hour,adjusted_loss,EUR/hour,0.9,0.5275622542821433,0.6396315789473684,1.851407234640293,96,9.599999999999998,0,planned_48h,2.5,42,deterministic
hour,ens,kWh/hour,0.9,0.013647842831081863,0.0032316080729177,0.13632343292236374,96,9.599999999999998,0,planned_48h,2.5,42,deterministic
utc_day,actual_expense,EUR/block,0.9,9.049524323311793,10.070918424072264,10.070918424072264,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
utc_day,shortage_penalty,EUR/block,0.9,3.275482279459648,8.899528401692741,8.899528401692741,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
utc_day,inventory_adjustment,EUR/block,0.9,0.3364875000000002,0.6943500000000001,0.6943500000000001,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
utc_day,adjusted_loss,EUR/block,0.9,12.661494102771442,18.97044682576501,18.97044682576501,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
utc_day,ens,kWh/block,0.9,0.3275482279459647,0.8899528401692741,0.8899528401692742,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
nonoverlapping_24h,actual_expense,EUR/block,0.9,9.049524323311793,10.070918424072264,10.070918424072264,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,3.275482279459648,8.899528401692741,8.899528401692741,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.3364875000000002,0.6943500000000001,0.6943500000000001,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,12.661494102771442,18.97044682576501,18.97044682576501,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
nonoverlapping_24h,ens,kWh/block,0.9,0.3275482279459647,0.8899528401692741,0.8899528401692742,4,0.3999999999999999,0,planned_48h,2.5,42,deterministic
