experiment,window,grid_limit_kw,seed,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw
seed_repeat,winter,2.5,7,19,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.3369344075520833
seed_repeat,winter,2.5,7,19,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.6738688151041666
seed_repeat,winter,2.5,7,20,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.3065127418154762
seed_repeat,winter,2.5,7,20,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.6130254836309524
seed_repeat,winter,2.5,7,21,all_hours,24,0.16977456713479663,0.14917936779203866,0.3174673451769449,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.3348940894717262
seed_repeat,winter,2.5,7,21,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.6697881789434524
seed_repeat,winter,2.5,7,22,all_hours,24,0.16977456713479663,0.1491793677920387,0.3174673451769449,0.875,0.875,0.125,0.3490833100818453
seed_repeat,winter,2.5,7,22,daylight_proxy,12,0.3395491342695933,0.2983587355840774,0.4489666251598163,0.75,0.75,0.25,0.6981666201636906
seed_repeat,winter,2.5,7,23,all_hours,24,0.17513258192274303,0.1565060085720486,0.32909650729344936,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.3654073079427083
seed_repeat,winter,2.5,7,23,daylight_proxy,12,0.3502651638454861,0.31301201714409727,0.4654127439440123,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.7308146158854166
seed_repeat,winter,2.5,99,0,all_hours,24,0.14221835666232638,0.1103697277250744,0.2845261651018324,1.0,1.0,0.0,0.37031482514880953
seed_repeat,winter,2.5,99,0,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,1.0,1.0,0.0,0.7406296502976192
seed_repeat,winter,2.5,99,1,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9166666666666666,0.9583333333333334,0.041666666666666664,0.33612060546875
